match_id,minute,second,team,player,card,reason
3857278,42,18,United States,Tyler Adams,Yellow Card,Foul
3857278,76,14,Iran,Seyed Majid Hosseini,Yellow Card,Foul
3857278,82,27,Iran,Mohammad Hossein Kanani Zadegan,Yellow Card,Bad Behaviour
3857278,95,26,Iran,Abolfazl Jalali,Yellow Card,Foul
3857254,23,45,Denmark,Rasmus Nissen Kristensen,Yellow Card,Foul
3857254,77,15,Denmark,Mathias Jensen,Yellow Card,Foul
3857254,84,57,Tunisia,Taha Yassine Khenissi,Yellow Card,Foul
3869253,43,31,South Korea,Woo-Young Jung,Yellow Card,Foul
3869684,68,38,Morocco,Azzedine Ounahi,Yellow Card,Bad Behaviour
3869684,83,42,Morocco,Selim Amallah,Yellow Card,Bad Behaviour
3857257,3,4,Australia,Aziz Eraltay Behich,Yellow Card,Foul
3857257,56,51,Australia,Miloš Degenek,Yellow Card,Foul
3857257,74,36,Denmark,Robert Skov,Yellow Card,Foul
3857282,10,28,United States,Sergino Dest,Yellow Card,Foul
3857282,12,3,United States,Weston McKennie,Yellow Card,Foul
3857282,39,5,Wales,Gareth Frank Bale,Yellow Card,Foul
3857282,46,53,Wales,Chris Mepham,Yellow Card,Foul
3857282,50,15,United States,Tim Ream,Yellow Card,Foul
3857282,99,52,United States,Kellyn Kai Perry-Acosta,Yellow Card,Foul
3857296,65,56,Belgium,Leander Dendoncker,Yellow Card,Foul
3869254,42,3,Switzerland,Fabian Lukas Schär,Yellow Card,Foul
3869254,58,28,Switzerland,Eray Ervin Cömert,Yellow Card,Foul
3857279,54,4,Australia,Mitchell Thomas Duke,Yellow Card,Foul
3857279,79,7,Australia,Jackson Irvine,Yellow Card,Foul
3857279,93,51,Australia,Aaron Mooy,Yellow Card,Foul
3857277,77,27,Morocco,Sofyan Amrabat,Yellow Card,Foul
3869118,75,8,Senegal,Kalidou Koulibaly,Yellow Card,Foul
3857264,48,12,Argentina,Marcos Javier Acuña,Yellow Card,Foul
3857264,77,37,Poland,Grzegorz Krychowiak,Yellow Card,Foul
3857288,25,16,Tunisia,Aïssa Bilal Laïdouni,Yellow Card,Foul
3857288,63,50,Tunisia,Ali Abdi,Yellow Card,Foul
3857288,91,57,Tunisia,Ferjani Sassi,Yellow Card,Foul
3857292,75,12,Costa Rica,Óscar Esau Duarte Gaitán,Yellow Card,Foul
