match_id,minute,second,period,team,player,body_part,shot_type,own_goal,x,y
3857278,37,49,1,United States,Christian Pulisic,Right Foot,Open Play,False,115.1,38.7
3869253,6,41,1,Brazil,Vinícius José Paixão de Oliveira Júnior,Right Foot,Open Play,False,110.0,29.9
3869253,12,18,1,Brazil,Neymar da Silva Santos Junior,Right Foot,Penalty,False,108.0,40.0
3869253,28,13,1,Brazil,Richarlison de Andrade,Left Foot,Open Play,False,110.7,43.3
3869253,35,45,1,Brazil,Lucas Tolentino Coelho de Lima,Right Foot,Open Play,False,110.0,44.8
3869253,75,47,2,South Korea,Seung-Ho Paik,Left Foot,Open Play,False,93.7,39.8
3869684,6,28,1,Croatia,Joško Gvardiol,Head,Open Play,False,108.8,38.0
3869684,8,17,1,Morocco,Achraf Dari,Head,Open Play,False,115.6,39.0
3869684,41,43,1,Croatia,Mislav Oršić,Right Foot,Open Play,False,106.5,21.3
3857257,59,56,2,Australia,Mathew Leckie,Left Foot,Open Play,False,105.7,31.5
3857282,35,12,1,United States,Timothy Weah,Right Foot,Open Play,False,107.7,37.8
3857282,81,33,2,Wales,Gareth Frank Bale,Left Foot,Penalty,False,108.0,40.0
3869254,16,43,1,Portugal,Gonçalo Matias Ramos,Left Foot,Open Play,False,111.3,27.5
3869254,32,35,1,Portugal,Kléper Laveran Lima Ferreira,Head,Open Play,False,114.3,40.0
3869254,50,5,2,Portugal,Gonçalo Matias Ramos,Left Foot,Open Play,False,115.8,44.4
3869254,54,55,2,Portugal,Raphaël Adelino José Guerreiro,Left Foot,Open Play,False,110.9,32.4
3869254,57,5,2,Switzerland,Manuel Obafemi Akanji,Right Foot,Open Play,False,118.7,35.4
3869254,66,12,2,Portugal,Gonçalo Matias Ramos,Right Foot,Open Play,False,112.6,45.8
3869254,91,12,2,Portugal,Rafael Alexandre Conceição Leão,Right Foot,Open Play,False,105.0,21.7
3857279,8,24,1,Australia,Craig Goodwin,Left Foot,Open Play,False,114.2,31.3
3857279,26,2,1,France,Adrien Rabiot,Head,Open Play,False,111.6,42.0
3857279,31,18,1,France,Olivier Giroud,Right Foot,Open Play,False,110.5,39.2
3857279,67,3,2,France,Kylian Mbappé Lottin,Head,Open Play,False,113.5,42.2
3857279,70,50,2,France,Olivier Giroud,Head,Open Play,False,113.5,42.6
3869118,38,0,1,England,Jordan Brian Henderson,Left Foot,Open Play,False,107.6,38.0
3869118,47,17,1,England,Harry Kane,Right Foot,Open Play,False,104.3,50.7
3869118,56,43,2,England,Bukayo Saka,Left Foot,Open Play,False,111.0,35.9
3857264,45,53,2,Argentina,Alexis Mac Allister,Right Foot,Open Play,False,106.0,46.7
3857264,66,57,2,Argentina,Julián Álvarez,Right Foot,Open Play,False,106.0,33.5
3857288,22,50,1,Australia,Mitchell Thomas Duke,Head,Open Play,False,110.1,32.5
3857292,9,31,1,Germany,Serge Gnabry,Head,Open Play,False,111.9,33.1
3857292,57,39,2,Costa Rica,Yeltsin Ignacio Tejeda Valverde,Right Foot,Open Play,False,114.3,38.1
3857292,69,7,2,Costa Rica,,,Own Goal,True,,
3857292,72,4,2,Germany,Kai Havertz,Right Foot,Open Play,False,109.3,42.6
3857292,84,2,2,Germany,Kai Havertz,Left Foot,Open Play,False,113.1,37.6
3857292,88,13,2,Germany,Niclas Füllkrug,Left Foot,Open Play,False,114.8,42.5
