match_id,team,player,jersey_number,starter,appeared,first_position,on_time,off_time,start_reason,end_reason,num_positions_played
3857278,United States,Timothy Weah,21,True,True,Right Wing,00:00,81:08,Starting XI,Substitution - Off (Tactical),2
3857278,United States,DeAndre Yedlin,22,False,False,,,,,,0
3857278,United States,Antonee Robinson,5,True,True,Left Back,00:00,,Starting XI,Final Whistle,2
3857278,United States,Shaquell Moore,18,False,True,Right Back,81:09,,Substitution - On (Tactical),Final Whistle,2
3857278,United States,Christian Pulisic,10,True,True,Left Wing,00:00,45:00,Starting XI,Substitution - Off (Tactical),2
3857278,United States,Weston McKennie,8,True,True,Left Center Midfield,00:00,64:48,Starting XI,Substitution - Off (Tactical),2
3857278,United States,Matthew Charles Turner,1,True,True,Goalkeeper,00:00,,Starting XI,Final Whistle,1
3857278,United States,Walker Zimmerman,3,False,True,Right Center Forward,81:08,,Substitution - On (Tactical),Final Whistle,2
3857278,United States,Sean Johnson,25,False,False,,,,,,0
3857278,United States,Tyler Adams,4,True,True,Center Defensive Midfield,00:00,,Starting XI,Final Whistle,2
3857278,United States,Aaron Long,15,False,False,,,,,,0
3857278,United States,Kellyn Kai Perry-Acosta,23,False,True,Left Defensive Midfield,64:48,,Substitution - On (Tactical),Final Whistle,1
3857278,United States,Cristian Roldán León,17,False,False,,,,,,0
3857278,United States,Cameron Carter-Vickers,20,True,True,Right Center Back,00:00,,Starting XI,Final Whistle,1
3857278,United States,Tim Ream,13,True,True,Left Center Back,00:00,,Starting XI,Final Whistle,1
3857278,United States,Ethan Horvath,12,False,False,,,,,,0
3857278,United States,Sergino Dest,2,True,True,Right Back,00:00,81:09,Starting XI,Substitution - Off (Tactical),1
3857278,United States,Haji Wright,19,False,True,Left Center Forward,76:55,,Substitution - On (Injury),Final Whistle,2
3857278,United States,Joshua Sargent,24,True,True,Center Forward,00:00,76:55,Starting XI,Substitution - Off (Injury),3
3857278,United States,Jesus Ferreira,9,False,False,,,,,,0
3857278,United States,Jordan Morris,16,False,False,,,,,,0
3857278,United States,Brenden Aaronson,11,False,True,Left Wing,45:00,,Substitution - On (Tactical),Final Whistle,3
3857278,United States,Luca de la Torre,14,False,False,,,,,,0
3857278,United States,Giovanni Reyna,7,False,False,,,,,,0
3857278,United States,Joseph Scally,26,False,False,,,,,,0
3857278,United States,Yunus Dimoara Musah,6,True,True,Right Center Midfield,00:00,,Starting XI,Final Whistle,3
3857278,Iran,Morteza Pouraliganji,8,True,True,Left Center Back,00:00,,Starting XI,Final Whistle,1
3857278,Iran,Roozbeh Cheshmi,15,False,False,,,,,,0
