match_id,team,player,card,time,period,reason
3857278,United States,Tyler Adams,Yellow Card,42:18,1,Foul Committed
3857278,Iran,Seyed Majid Hosseini,Yellow Card,76:14,2,Foul Committed
3857278,Iran,Mohammad Hossein Kanani Zadegan,Yellow Card,82:27,2,Bad Behaviour
3857278,Iran,Abolfazl Jalali,Yellow Card,95:26,2,Foul Committed
3857254,Denmark,Rasmus Nissen Kristensen,Yellow Card,23:45,1,Foul Committed
3857254,Denmark,Mathias Jensen,Yellow Card,77:15,2,Foul Committed
3857254,Tunisia,Taha Yassine Khenissi,Yellow Card,84:57,2,Foul Committed
3869253,South Korea,Woo-Young Jung,Yellow Card,43:31,1,Foul Committed
3869684,Morocco,Selim Amallah,Yellow Card,83:42,2,Bad Behaviour
3869684,Morocco,Azzedine Ounahi,Yellow Card,68:38,2,Bad Behaviour
3857257,Denmark,Robert Skov,Yellow Card,74:36,2,Foul Committed
3857257,Australia,Aziz Eraltay Behich,Yellow Card,03:04,1,Foul Committed
3857257,Australia,Miloš Degenek,Yellow Card,56:51,2,Foul Committed
3857282,Wales,Chris Mepham,Yellow Card,46:53,1,Foul Committed
3857282,Wales,Gareth Frank Bale,Yellow Card,39:05,1,Foul Committed
3857282,United States,Weston McKennie,Yellow Card,12:03,1,Foul Committed
3857282,United States,Kellyn Kai Perry-Acosta,Yellow Card,99:52,2,Foul Committed
3857282,United States,Tim Ream,Yellow Card,50:15,2,Foul Committed
3857282,United States,Sergino Dest,Yellow Card,10:28,1,Foul Committed
3857296,Belgium,Leander Dendoncker,Yellow Card,65:56,2,Foul Committed
3869254,Switzerland,Fabian Lukas Schär,Yellow Card,42:03,1,Foul Committed
3869254,Switzerland,Eray Ervin Cömert,Yellow Card,58:28,2,Foul Committed
3857279,Australia,Aaron Mooy,Yellow Card,93:51,2,Foul Committed
3857279,Australia,Jackson Irvine,Yellow Card,79:07,2,Foul Committed
3857279,Australia,Mitchell Thomas Duke,Yellow Card,54:04,2,Foul Committed
3857277,Morocco,Sofyan Amrabat,Yellow Card,77:27,2,Foul Committed
3869118,Senegal,Kalidou Koulibaly,Yellow Card,75:08,2,Foul Committed
3857264,Argentina,Marcos Javier Acuña,Yellow Card,48:12,2,Foul Committed
3857264,Poland,Grzegorz Krychowiak,Yellow Card,77:37,2,Foul Committed
3857288,Tunisia,Ferjani Sassi,Yellow Card,91:57,2,Foul Committed
3857288,Tunisia,Ali Abdi,Yellow Card,63:50,2,Foul Committed
3857288,Tunisia,Aïssa Bilal Laïdouni,Yellow Card,25:16,1,Foul Committed
3857292,Costa Rica,Óscar Esau Duarte Gaitán,Yellow Card,75:12,2,Foul Committed
3869685,France,Marcus Thuram,Yellow Card,86:24,2,Foul Committed
3869685,France,Adrien Rabiot,Yellow Card,54:12,2,Foul Committed
3869685,France,Olivier Giroud,Yellow Card,94:35,2,Bad Behaviour
3869685,Argentina,Damián Emiliano Martínez,Yellow Card,12:57,5,Bad Behaviour
3869685,Argentina,Leandro Daniel Paredes,Yellow Card,11:27,4,Foul Committed
3869685,Argentina,Marcos Javier Acuña,Yellow Card,97:33,2,Foul Committed
3869685,Argentina,Gonzalo Ariel Montiel,Yellow Card,11:39,4,Foul Committed
3869685,Argentina,Enzo Fernandez,Yellow Card,51:21,1,Foul Committed
3869486,Portugal,Vitor Machado Ferreira,Yellow Card,86:30,2,Foul Committed
3869486,Morocco,Achraf Dari,Yellow Card,69:40,2,Foul Committed
3869486,Morocco,Walid Cheddira,Yellow Card,90:51,2,Foul Committed
3869486,Morocco,Walid Cheddira,Second Yellow,92:09,2,Foul Committed
3869552,Morocco,Sofiane Boufal,Yellow Card,26:14,1,Foul Committed
3857295,Japan,Wataru Endo,Yellow Card,92:31,2,Foul Committed
3857295,Japan,Ko Itakura,Yellow Card,83:06,2,Foul Committed
3857295,Japan,Miki Yamane,Yellow Card,43:11,1,Foul Committed
3857295,Costa Rica,Celso Borges Mora,Yellow Card,60:53,2,Foul Committed
3857295,Costa Rica,Francisco Javier Calvo Quesada,Yellow Card,69:37,2,Foul Committed
3857295,Costa Rica,Anthony Daniel Contreras Enríquez,Yellow Card,40:50,1,Foul Committed
3857281,Croatia,Dejan Lovren,Yellow Card,55:05,2,Foul Committed
3857281,Croatia,Luka Modrić,Yellow Card,84:03,2,Bad Behaviour
3857281,Canada,Kamal Miller,Yellow Card,84:02,2,Bad Behaviour
3857281,Canada,Tajon Buchanan,Yellow Card,51:12,2,Foul Committed
3857287,South Korea,Gue-Sung Cho,Yellow Card,87:45,2,Foul Committed
3857287,Uruguay,José Martín Cáceres Silva,Yellow Card,55:38,2,Foul Committed
3857299,Ghana,Daniel Amartey,Yellow Card,19:59,1,Foul Committed
3857299,Ghana,Tariq Lamptey,Yellow Card,72:28,2,Foul Committed
3857299,South Korea,Young-Gwon Kim,Yellow Card,76:30,2,Foul Committed
3857299,South Korea,Woo-Young Jung,Yellow Card,26:30,1,Foul Committed
3857294,Netherlands,Nathan Aké,Yellow Card,51:15,2,Foul Committed
3869220,Spain,Aymeric Laporte,Yellow Card,75:53,2,Foul Committed
3869220,Morocco,Romain Saïss,Yellow Card,89:05,2,Foul Committed
3857297,Poland,Matty Cash,Yellow Card,15:31,1,Foul Committed
3857297,Poland,Arkadiusz Milik,Yellow Card,18:47,1,Foul Committed
3857297,Poland,Jakub Piotr Kiwior,Yellow Card,14:31,1,Foul Committed
3857297,Saudi Arabia,Abdulelah Al Amri,Yellow Card,48:23,1,Foul Committed
3857297,Saudi Arabia,Abdulelah Saad Hameed Al-Malki,Yellow Card,19:55,1,Bad Behaviour
3857263,Germany,Joshua Kimmich,Yellow Card,59:08,2,Foul Committed
3857263,Germany,Leon Goretzka,Yellow Card,56:58,2,Foul Committed
3857263,Germany,Thilo Kehrer,Yellow Card,36:05,1,Foul Committed
3857263,Spain,Sergio Busquets i Burgos,Yellow Card,43:28,1,Foul Committed
3857283,Belgium,Amadou Onana,Yellow Card,27:52,1,Foul Committed
3857283,Morocco,Abdelhamid Sabiri,Yellow Card,94:38,2,Foul Committed
3869321,Netherlands,Memphis Depay,Yellow Card,75:06,2,Bad Behaviour
3869321,Netherlands,Steven Berghuis,Yellow Card,87:07,2,Bad Behaviour
3869321,Netherlands,Wout Weghorst,Yellow Card,46:44,1,Bad Behaviour
3869321,Netherlands,Denzel Dumfries,Yellow Card,12:03,5,Bad Behaviour
3869321,Netherlands,Denzel Dumfries,Second Yellow,12:44,5,Bad Behaviour
3869321,Netherlands,Steven Bergwijn,Yellow Card,10:39,2,Bad Behaviour
3869321,Netherlands,Noa Lang,Yellow Card,12:44,5,Bad Behaviour
3869321,Netherlands,Jurriën David Norman Timber,Yellow Card,42:32,1,Bad Behaviour
3869321,Argentina,Nicolás Hernán Otamendi,Yellow Card,10:20,2,Bad Behaviour
3869321,Argentina,Lionel Andrés Messi Cuccittini,Yellow Card,99:46,2,Bad Behaviour
3869321,Argentina,Germán Alejandro Pezzella,Yellow Card,11:20,4,Foul Committed
3869321,Argentina,Leandro Daniel Paredes,Yellow Card,87:57,2,Foul Committed
3869321,Argentina,Marcos Javier Acuña,Yellow Card,42:21,1,Foul Committed
3869321,Argentina,Cristian Gabriel Romero,Yellow Card,44:24,1,Foul Committed
3869321,Argentina,Lisandro Martínez,Yellow Card,75:08,2,Bad Behaviour
