match_id,date,kickoff,stage,group,match_week,home_team,away_team,home_score,away_score,home_manager,away_manager,stadium,stadium_country,referee,referee_country,home_possession_pct_proxy,away_possession_pct_proxy
3857286,2022-11-20,16:00:00.000,Group Stage,A,1,Qatar,Ecuador,0,2,Félix Sánchez Bas,Gustavo Julio Alfaro,Al Bayt Stadium,Qatar,Daniele Orsato,Italy,47.4,52.6
3857271,2022-11-21,13:00:00.000,Group Stage,B,1,England,Iran,6,2,Gareth Southgate,Carlos Manuel Brito Leal Queiróz,Sheikh Khalifa International Stadium,Qatar,Raphael Claus,Brazil,77.4,22.6
3857285,2022-11-21,16:00:00.000,Group Stage,A,1,Senegal,Netherlands,0,2,Aliou Cissé,Louis van Gaal,Al Thumama Stadium,Qatar,Wilton Pereira Sampaio,Brazil,46.7,53.3
3857282,2022-11-21,19:00:00.000,Group Stage,B,1,United States,Wales,1,1,Gregg Berhalter,Robert Page,Ahmad bin Ali Stadium,Qatar,Abdulrahman Ibrahim Al Jassim,Qatar,57.9,42.1
3857300,2022-11-22,10:00:00.000,Group Stage,C,1,Argentina,Saudi Arabia,1,2,Lionel Sebastián Scaloni,Hervé Renard,Lusail Stadium,Qatar,Slavko Vinčić,Slovenia,69.3,30.7
3857254,2022-11-22,13:00:00.000,Group Stage,D,1,Denmark,Tunisia,0,0,Kasper Hjulmand,Jalel Kadri,Education City Stadium ,Qatar,César Arturo Ramos Palazuelos,Mexico,60.8,39.2
3857265,2022-11-22,16:00:00.000,Group Stage,C,1,Mexico,Poland,0,0,Gerardo Daniel Martino,Czesław Michniewicz,Stadium 974,Qatar,Chris Beath,Australia,60.0,40.0
3857279,2022-11-22,19:00:00.000,Group Stage,D,1,France,Australia,4,1,Didier Deschamps,Graham James Arnold,Al Janoub Stadium   ,Qatar,Victor Miguel de Freitas Gomes,South Africa,61.6,38.4
3857277,2022-11-23,10:00:00.000,Group Stage,,1,Morocco,Croatia,0,0,Walid Regragui,Zlatko Dalić,Al Bayt Stadium,Qatar,Fernando Andrés Rapallini,Argentina,35.9,64.1
3857284,2022-11-23,13:00:00.000,Group Stage,E,1,Germany,Japan,1,2,Hans-Dieter Flick,Hajime Moriyasu,Sheikh Khalifa International Stadium,Qatar,Ivan Arcides Barton Cisneros,El Salvador,73.8,26.2
3857291,2022-11-23,16:00:00.000,Group Stage,E,1,Spain,Costa Rica,7,0,Luis Enrique Martínez García,Luis Fernando Suárez Guzman,Al Thumama Stadium,Qatar,,,81.3,18.7
3857268,2022-11-23,19:00:00.000,Group Stage,F,1,Belgium,Canada,1,0,Roberto Martínez Montoliú,John Herdman,Ahmad bin Ali Stadium,Qatar,Janny Sikazwe,Zambia,52.7,47.3
