match_id,minute,second,team,player
3857278,43,5,Iran,Ramin Rezaeian
3857278,51,6,United States,Weston McKennie
3857278,57,57,Iran,Ahmad Nourollahi
3857254,22,28,Tunisia,Dylan Daniel Mahmoud Bronn
3857254,54,38,Denmark,Rasmus Nissen Kristensen
3869253,0,38,South Korea,Heung-Min Son
3869253,4,5,South Korea,Young-Gwon Kim
3869253,5,33,South Korea,Woo-Young Jung
3869253,67,34,South Korea,Gue-Sung Cho
3869253,79,6,South Korea,Min Jae Kim
3869684,25,48,Croatia,Lovro Majer
3869684,29,27,Croatia,Ivan Perišić
3869684,87,5,Morocco,Sofyan Amrabat
3869684,91,29,Morocco,Sofyan Amrabat
3857257,17,7,Denmark,Christian Dannemann Eriksen
3857257,25,47,Denmark,Joachim Andersen
3857257,70,21,Denmark,Christian Dannemann Eriksen
3857257,73,39,Australia,Kye Rowles
3857282,46,22,United States,Tyler Adams
3857282,98,18,Wales,Ben Davies
3857296,10,0,Croatia,Borna Sosa
3857296,14,26,Croatia,Luka Modrić
3857296,28,18,Croatia,Dejan Lovren
3857296,79,37,Croatia,Bruno Petković
3869254,2,15,Portugal,Kléper Laveran Lima Ferreira
3869254,25,16,Portugal,José Diogo Dalot Teixeira
3869254,30,20,Switzerland,Remo Freuler
3869254,78,35,Switzerland,Manuel Obafemi Akanji
3869254,83,10,Portugal,William Silva de Carvalho
3869254,89,55,Switzerland,Haris Seferović
3857272,75,55,England,Harry Kane
3857277,47,28,Croatia,Joško Gvardiol
3857288,16,34,Tunisia,Ali Abdi
3857288,56,42,Tunisia,Ferjani Sassi
3857288,67,59,Tunisia,Yassine Meriah
3857292,3,57,Germany,Jamal Musiala
3857292,7,28,Costa Rica,Keylor Navas Gamboa
3857292,18,20,Costa Rica,Joel Nathaniel Campbell Samuels
3857292,25,21,Germany,Serge Gnabry
3857292,41,4,Germany,Jamal Musiala
3857292,48,36,Costa Rica,Celso Borges Mora
3857292,72,58,Costa Rica,Joel Nathaniel Campbell Samuels
3869685,2,28,Argentina,Rodrigo Javier De Paul
3869685,13,53,Argentina,Nicolás Alejandro Tagliafico
3869685,29,6,Argentina,Lionel Andrés Messi Cuccittini
3869685,58,55,France,Theo Bernard François Hernández
3869685,90,18,France,Dayotchanculle Upamecano
3869685,95,58,France,Dayotchanculle Upamecano
3869685,100,26,France,Jules Koundé
3869685,121,59,Argentina,Lionel Andrés Messi Cuccittini
3869486,32,44,Portugal,Raphaël Adelino José Guerreiro
3869486,40,32,Portugal,Bernardo Mota Veiga de Carvalho e Silva
3869486,58,46,Morocco,Sofiane Boufal
3869486,89,58,Morocco,Sofyan Amrabat
3869552,10,43,France,Antoine Griezmann
3869552,30,6,Morocco,Sofiane Boufal
3869552,32,23,France,Olivier Giroud
3869552,59,26,France,Olivier Giroud
3869552,68,27,France,Jules Koundé
3869552,89,18,Morocco,Azzedine Ounahi
