match_id,minute,second,team,player_off,player_in,reason
3857278,47,1,Iran,Milad Mohammadi,Ali Karimi,Injury
3857278,45,0,United States,Christian Pulisic,Brenden Aaronson,Tactical
3857278,45,0,Iran,Sardar Azmoun,Saman Ghoddos,Tactical
3857278,64,48,United States,Weston McKennie,Kellyn Kai Perry-Acosta,Tactical
3857278,70,36,Iran,Ahmad Nourollahi,Mehdi Torabi,Tactical
3857278,71,3,Iran,Ehsan Hajsafi,Abolfazl Jalali,Tactical
3857278,76,55,United States,Joshua Sargent,Haji Wright,Injury
3857278,76,56,Iran,Ali Gholizadeh,Karim Ansarifard,Tactical
3857278,81,8,United States,Timothy Weah,Walker Zimmerman,Tactical
3857278,81,9,United States,Sergino Dest,Shaquell Moore,Tactical
3857254,45,32,Denmark,Thomas Delaney,Mikkel Damsgaard,Injury
3857254,63,59,Denmark,Simon Thorup Kjær,Mathias Jensen,Tactical
3857254,64,28,Denmark,Andreas Skov Olsen,Jesper Lindstrøm,Tactical
3857254,64,28,Denmark,Kasper Dolberg,Andreas Evald Cornelius,Tactical
3857254,66,43,Tunisia,Anis Ben Slimane,Naïm Sliti,Tactical
3857254,79,47,Tunisia,Youssef Msakni,Hannibal Mejbri,Tactical
3857254,80,1,Tunisia,Issam Jebali,Taha Yassine Khenissi,Tactical
3857254,87,17,Tunisia,Mohamed Dräger,Wajdi Kechrida,Tactical
3857254,87,46,Tunisia,Aïssa Bilal Laïdouni,Ferjani Sassi,Tactical
3869253,45,0,South Korea,Jin-Su Kim,Chul Hong,Tactical
3869253,45,0,South Korea,Woo-Young Jung,Jun-Ho Son,Tactical
3869253,62,33,Brazil,Éder Gabriel Militão,Daniel Alves da Silva,Tactical
3869253,64,26,South Korea,In-Beom Hwang,Seung-Ho Paik,Tactical
3869253,71,44,Brazil,Danilo Luiz da Silva,Gleison Bremer Silva Nascimento,Tactical
3869253,71,46,Brazil,Vinícius José Paixão de Oliveira Júnior,Gabriel Teodoro Martinelli Silva,Tactical
3869253,73,28,South Korea,Jae-Sung Lee,Kang-In Lee,Tactical
3869253,79,31,South Korea,Gue-Sung Cho,Ui-Jo Hwang,Tactical
3869253,79,53,Brazil,Alisson Ramsés Becker,Weverton Pereira da Silva,Tactical
3869253,80,17,Brazil,Neymar da Silva Santos Junior,Rodrygo Silva de Goes,Tactical
3869684,45,0,Morocco,Abdelhamid Sabiri,Ilias Chair,Tactical
3869684,55,2,Morocco,Bilal El Khannous,Azzedine Ounahi,Tactical
3869684,61,4,Croatia,Andrej Kramarić,Nikola Vlašić,Injury
3869684,63,17,Morocco,Sofiane Boufal,Anass Zaroury,Tactical
3869684,63,24,Morocco,Achraf Dari,Badr Banoun,Injury
3869684,66,48,Morocco,Jawad El Yamiq,Selim Amallah,Injury
3869684,66,55,Croatia,Lovro Majer,Mario Pašalić,Tactical
3869684,66,58,Croatia,Marko Livaja,Bruno Petković,Tactical
3869684,94,52,Croatia,Mislav Oršić,Kristijan Jakić,Tactical
3857257,45,0,Australia,Craig Goodwin,Keanu Baccus,Tactical
3857257,45,0,Denmark,Rasmus Nissen Kristensen,Alexander Hartmann Bah,Tactical
3857257,58,13,Denmark,Martin Braithwaite Christensen,Kasper Dolberg,Tactical
3857257,58,30,Denmark,Mathias Jensen,Mikkel Damsgaard,Tactical
3857257,68,56,Denmark,Andreas Skov Olsen,Robert Skov,Tactical
3857257,69,21,Denmark,Joakim Mæhle,Andreas Evald Cornelius,Tactical
3857257,73,15,Australia,Riley McGree,Bailey Wright,Tactical
3857257,81,52,Australia,Mitchell Thomas Duke,Jamie MacLaren,Tactical
3857257,88,8,Australia,Mathew Leckie,Ajdin Hrustic,Tactical
3857282,45,0,Wales,Daniel James,Kieffer Roberto Francisco Moore,Tactical
3857282,65,12,United States,Weston McKennie,Brenden Aaronson,Tactical
3857282,73,29,United States,Joshua Sargent,Haji Wright,Tactical
3857282,74,15,United States,Sergino Dest,DeAndre Yedlin,Tactical
3857282,74,15,United States,Yunus Dimoara Musah,Kellyn Kai Perry-Acosta,Injury
3857282,78,19,Wales,Neco Williams,Brennan Johnson,Tactical
3857282,87,33,United States,Timothy Weah,Jordan Morris,Tactical
3857282,92,35,Wales,Harry Wilson,Sorba Thomas,Tactical
3857282,94,42,Wales,Ethan Ampadu,Joseff Morrell,Injury
3857296,45,0,Belgium,Dries Mertens,Romelu Lukaku Menama,Tactical
3857296,58,5,Belgium,Leandro Trossard,Thorgan Hazard,Tactical
3857296,63,16,Croatia,Marko Livaja,Bruno Petković,Tactical
3857296,63,42,Croatia,Andrej Kramarić,Mario Pašalić,Tactical
3857296,71,30,Belgium,Yannick Ferreira Carrasco,Jeremy Doku,Tactical
3857296,71,37,Belgium,Leander Dendoncker,Youri Tielemans,Tactical
3857296,86,37,Belgium,Thomas Meunier,Eden Hazard,Tactical
3857296,90,54,Croatia,Mateo Kovačić,Lovro Majer,Tactical
3869254,45,0,Switzerland,Fabian Lukas Schär,Eray Ervin Cömert,Tactical
3869254,53,36,Switzerland,Remo Freuler,Denis Lemi Zakaria Lako Lado,Tactical
3869254,53,54,Switzerland,Djibril Sow,Haris Seferović,Tactical
3869254,65,43,Switzerland,Ruben Vargas,Noah Okafor,Tactical
3869254,72,35,Portugal,Gonçalo Matias Ramos,Ricardo Jorge Luz Horta,Tactical
3869254,72,49,Portugal,João Félix Sequeira,Cristiano Ronaldo dos Santos Aveiro,Tactical
3869254,73,4,Portugal,Otávio Edmilson da Silva Monteiro,Vitor Machado Ferreira,Tactical
3869254,80,39,Portugal,Bernardo Mota Veiga de Carvalho e Silva,Rúben Diogo Da Silva Neves,Tactical
3869254,86,40,Portugal,Bruno Miguel Borges Fernandes,Rafael Alexandre Conceição Leão,Tactical
3869254,88,36,Switzerland,Breel-Donald Embolo,Ardon Jashari,Tactical
3857279,12,2,France,Lucas Hernández Pi,Theo Bernard François Hernández,Injury
3857279,55,35,Australia,Mitchell Thomas Duke,Jason Cummings,Tactical
3857279,72,25,Australia,Riley McGree,Awer Denis Bul Mabil,Tactical
3857279,72,40,Australia,Craig Goodwin,Garang Kuol,Tactical
3857279,76,9,France,Aurélien Djani Tchouaméni,Youssouf Fofana,Tactical
3857279,76,19,France,Ousmane Dembélé,Kingsley Coman,Tactical
3857279,84,3,Australia,Jackson Irvine,Keanu Baccus,Tactical
3857279,84,7,Australia,Nathaniel Atkinson,Miloš Degenek,Tactical
3857279,88,34,France,Benjamin Pavard,Jules Koundé,Tactical
3857279,88,35,France,Olivier Giroud,Marcus Thuram,Tactical
3857272,67,51,England,Raheem Sterling,Jack Grealish,Tactical
3857272,68,17,England,Jude Bellingham,Jordan Brian Henderson,Tactical
3857272,76,42,United States,Weston McKennie,Brenden Aaronson,Tactical
3857272,77,13,United States,Sergino Dest,Shaquell Moore,Tactical
3857272,77,42,England,Bukayo Saka,Marcus Rashford,Tactical
3857272,82,21,United States,Timothy Weah,Giovanni Reyna,Tactical
3857272,82,30,United States,Haji Wright,Joshua Sargent,Tactical
3857277,45,0,Croatia,Nikola Vlašić,Mario Pašalić,Tactical
3857277,59,52,Morocco,Noussair Mazraoui,Yahia Attiyat allah,Injury
3857277,64,46,Morocco,Sofiane Boufal,Abdessamad Ezzalzouli,Tactical
3857277,69,58,Croatia,Andrej Kramarić,Marko Livaja,Tactical
3857277,78,43,Croatia,Mateo Kovačić,Lovro Majer,Tactical
3857277,80,46,Morocco,Youssef En-Nesyri,Abderrazak Hamdallah,Tactical
3857277,81,13,Morocco,Azzedine Ounahi,Abdelhamid Sabiri,Tactical
3857277,89,16,Croatia,Ivan Perišić,Mislav Oršić,Tactical
3869118,45,0,Senegal,Pathé Ismaël Ciss,Pape Gueye,Tactical
3869118,45,0,Senegal,Krépin Diatta,Pape Matar Sarr,Tactical
3869118,45,1,Senegal,Iliman Ndiaye,Cheikh Ahmadou Bamba Mbacke Dieng,Tactical
3869118,64,19,England,Bukayo Saka,Marcus Rashford,Tactical
3869118,64,27,England,Philip Foden,Jack Grealish,Tactical
3869118,71,7,Senegal,Boulaye Dia,Famara Diedhiou,Tactical
3869118,75,55,England,Jude Bellingham,Mason Mount,Tactical
3869118,76,10,England,John Stones,Eric Dier,Tactical
3869118,81,9,England,Jordan Brian Henderson,Kalvin Phillips,Tactical
3869118,83,54,Senegal,Ismail Jakobs,Fodé Ballo Touré,Tactical
3857264,45,0,Poland,Karol Świderski,Michał Skóraś,Tactical
3857264,45,0,Poland,Przemysław Frankowski,Jakub Kamiński,Tactical
3857264,58,18,Argentina,Ángel Fabián Di María Hernández,Leandro Daniel Paredes,Tactical
3857264,58,27,Argentina,Marcos Javier Acuña,Nicolás Alejandro Tagliafico,Tactical
3857264,61,45,Poland,Krystian Bielik,Damian Szymański,Tactical
3857264,72,0,Poland,Bartosz Bereszyński,Artur Jędrzejczyk,Tactical
3857264,78,5,Argentina,Julián Álvarez,Lautaro Javier Martínez,Tactical
3857264,78,24,Argentina,Enzo Fernandez,Germán Alejandro Pezzella,Tactical
3857264,82,47,Argentina,Alexis Mac Allister,Thiago Ezequiel Almada,Tactical
3857264,82,57,Poland,Grzegorz Krychowiak,Krzysztof Piątek,Tactical
3857288,45,0,Tunisia,Mohamed Dräger,Ferjani Sassi,Tactical
3857288,63,1,Australia,Mitchell Thomas Duke,Jamie MacLaren,Tactical
3857288,63,5,Australia,Riley McGree,Ajdin Hrustic,Tactical
3857288,66,47,Tunisia,Aïssa Bilal Laïdouni,Wahbi Khazri,Tactical
3857288,72,43,Tunisia,Issam Jebali,Taha Yassine Khenissi,Tactical
3857288,72,43,Tunisia,Dylan Daniel Mahmoud Bronn,Wajdi Kechrida,Tactical
3857288,74,49,Australia,Fran Karačić,Miloš Degenek,Tactical
3857288,84,28,Australia,Mathew Leckie,Keanu Baccus,Tactical
3857288,84,32,Australia,Craig Goodwin,Awer Denis Bul Mabil,Tactical
3857292,45,0,Costa Rica,Brandon Aguilera Zamora,Youstin Delfin Salas Gómez,Tactical
3857292,45,0,Germany,Leon Goretzka,Lukas Klostermann,Tactical
3857292,53,56,Germany,İlkay Gündoğan,Niclas Füllkrug,Tactical
3857292,65,51,Germany,Thomas Müller,Kai Havertz,Tactical
3857292,65,52,Germany,David Raum,Mario Götze,Tactical
3857292,73,14,Costa Rica,Johan Alberto Venegas Ulloa,Ronald Alberto Matarrita Ulate,Tactical
3857292,73,30,Costa Rica,Keysher Fuller Spence,Jewison Bennette,Tactical
3857292,92,29,Costa Rica,Bryan Oviedo,Anthony Daniel Contreras Enríquez,Tactical
3857292,92,32,Costa Rica,Yeltsin Ignacio Tejeda Valverde,Roan Roberto Wilson Gordon,Tactical
3857292,93,37,Germany,Niklas Süle,Matthias Ginter,Tactical
3869685,40,32,France,Ousmane Dembélé,Randal Kolo Muani,Tactical
3869685,41,1,France,Olivier Giroud,Marcus Thuram,Tactical
3869685,63,51,Argentina,Ángel Fabián Di María Hernández,Marcos Javier Acuña,Tactical
3869685,70,27,France,Theo Bernard François Hernández,Eduardo Camavinga,Tactical
3869685,70,29,France,Antoine Griezmann,Kingsley Coman,Tactical
3869685,90,0,Argentina,Nahuel Molina Lucero,Gonzalo Ariel Montiel,Tactical
3869685,95,10,France,Adrien Rabiot,Youssouf Fofana,Tactical
3869685,101,37,Argentina,Rodrigo Javier De Paul,Leandro Daniel Paredes,Tactical
3869685,101,49,Argentina,Julián Álvarez,Lautaro Javier Martínez,Tactical
3869685,112,28,France,Raphaël Varane,Ibrahima Konaté,Injury
3869685,115,22,Argentina,Alexis Mac Allister,Germán Alejandro Pezzella,Tactical
3869685,120,35,France,Jules Koundé,Axel Disasi,Tactical
